YEAR,EF_Summary_Index,Rank,Quartile,Government consumption,data,Transfers and subsidies,data,Government investment,data,Top marginal income tax rate,data,Top marginal income and payroll tax rate,data,Top marginal tax rate,State ownership of Assets,Size of Government,Area 1 Rank,Judicial independence,Impartial courts,Protection of property rights,Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Gender Legal Rights Adjustment,Legal System & Property Rights -- Without Gender Adjustment,Legal System & Property Rights -- With Gender Adjustment,Area 2 Rank,Money growth,data,Standard deviation of inflation,data,Inflation: Most recent year,data,Freedom to own foreign currency bank accounts,Sound Money,Area 3 Rank,Revenue from trade taxes (% of trade sector),data,Mean tariff rate,data,Standard deviation of tariff rates,data,Tariffs,Non-tariff trade barriers,Compliance costs of importing and exporting,Regulatory trade barriers,Black market exchange rates,Financial openness,Capital controls,Freedom of foreigners to visit,Protection of foreign assets,Controls of the movement of capital and people,Freedom to trade internationally,Area 4 Rank,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Foreign Labor,Labor market regulations,Regulatory Burden,Bureacracy costs,Impartial Public Administration,Tax compliance,Business regulations,Market openness,Business Permits,Distorton of the business environment,Freedom to enter markets and compete,Regulation,Area 5 Rank
2011,8.23,5,1,6.03,9.10,5.77,9.10,7.61,9.10,8.00,9.10,7.00,9.10,7.50,9.25,7.23,55,7.67,7.50,8.32,6.67,7.99,8.18,8.62,7.54,1.00,7.81,7.81,18,9.25,9.10,9.68,9.10,8.74,9.10,10.00,9.42,12,9.55,9.10,9.30,9.10,6.36,9.10,8.40,6.72,9.35,8.04,10.00,10.00,3.85,4.09,8.23,6.54,8.25,32,10.00,3.19,10.00,7.73,10.00,10.00,7.33,10.00,10.00,10.00,6.45,9.11,3.88,7.88,9.56,6.52,6.96,9.95,9.97,10.00,9.97,8.44,5
2010,8.22,5,1,5.85,8.93,5.69,8.93,7.49,8.93,7.00,8.93,7.00,8.93,7.00,9.25,7.06,56,7.58,7.53,8.38,6.67,7.99,8.36,9.51,7.55,1.00,7.95,7.95,18,9.13,8.93,9.58,8.93,9.34,8.93,10.00,9.51,5,9.55,8.93,9.30,8.93,6.43,8.93,8.43,6.73,9.35,8.04,10.00,10.00,3.85,4.09,8.21,6.54,8.25,36,10.00,1.83,10.00,7.28,10.00,10.00,7.49,10.00,10.00,10.00,6.45,9.14,4.03,7.88,9.56,6.45,6.98,9.95,9.98,10.00,9.98,8.34,6
2009,8.11,7,1,5.85,8.75,5.94,8.75,5.42,8.75,7.00,8.75,7.00,8.75,7.00,9.21,6.68,79,7.71,7.53,8.42,6.67,7.99,8.36,9.61,7.61,1.00,7.99,7.99,18,8.70,8.75,9.63,8.75,9.86,8.75,10.00,9.55,6,9.56,8.75,9.30,8.75,6.50,8.75,8.45,6.17,9.35,7.76,10.00,10.00,3.85,4.09,8.20,6.54,8.19,40,10.00,0.44,10.00,6.81,10.00,10.00,7.55,10.00,10.00,10.00,6.27,9.12,4.13,7.01,9.56,6.41,6.78,9.95,9.98,,9.96,8.17,9
2008,8.32,5,1,6.10,9.07,6.44,9.07,7.80,9.07,7.00,9.07,7.00,9.07,7.00,9.21,7.31,53,7.94,7.57,8.77,6.67,7.99,8.53,9.61,7.82,1.00,8.11,8.11,17,8.83,9.07,9.84,9.07,8.46,9.07,10.00,9.28,13,9.54,9.07,9.30,9.07,6.37,9.07,8.40,6.68,9.35,8.01,10.00,10.00,6.15,4.09,8.88,7.28,8.42,33,10.00,5.03,10.00,8.34,10.00,10.00,7.92,10.00,10.00,10.00,6.40,9.19,3.99,7.01,9.56,5.16,6.43,9.95,9.98,,9.96,8.48,5
2007,8.55,5,1,6.30,9.31,6.66,9.31,9.09,9.31,8.00,9.31,8.00,9.31,8.00,9.25,7.86,34,7.98,7.74,8.99,6.67,7.74,8.53,9.61,7.86,1.00,8.14,8.14,17,9.06,9.31,9.84,9.31,8.86,9.31,10.00,9.44,6,9.52,9.31,9.30,9.31,6.28,9.31,8.37,7.23,9.35,8.29,10.00,10.00,6.15,4.09,8.72,7.24,8.47,27,10.00,7.65,10.00,9.22,10.00,10.00,8.17,10.00,10.00,10.00,7.56,9.39,4.06,7.01,9.56,6.41,6.76,9.95,9.98,,9.96,8.83,4
2006,8.55,5,1,6.32,9.31,6.69,9.31,9.78,9.31,8.00,9.31,7.00,9.31,7.50,9.25,7.91,33,7.75,7.72,8.79,6.67,7.98,8.53,9.61,7.66,1.00,8.09,8.09,17,9.40,9.31,9.75,9.31,8.71,9.31,10.00,9.47,9,9.52,9.31,9.30,9.31,6.28,9.31,8.37,7.04,9.35,8.19,10.00,10.00,6.15,4.09,9.13,7.35,8.48,27,10.00,8.21,10.00,9.40,10.00,10.00,7.86,10.00,10.00,10.00,7.91,9.40,4.19,7.01,9.56,5.16,6.48,9.95,9.98,,9.96,8.81,3
2005,8.54,4,1,6.34,9.31,6.69,9.31,9.86,9.31,8.00,9.31,7.00,9.31,7.50,9.25,7.93,34,7.72,7.78,9.03,6.67,7.98,8.53,9.61,7.66,1.00,8.12,8.12,17,9.70,9.31,9.79,9.31,8.64,9.31,10.00,9.53,12,9.49,9.31,9.36,9.31,6.28,9.31,8.38,6.89,9.35,8.12,10.00,10.00,6.15,4.10,7.85,7.03,8.38,24,10.00,7.49,10.00,9.16,10.00,10.00,7.83,10.00,10.00,10.00,9.44,9.61,4.29,5.93,9.56,5.16,6.23,9.99,9.98,,9.98,8.75,3
2004,8.67,5,1,6.37,11.10,6.72,11.10,9.78,11.10,8.00,11.10,7.00,11.10,7.50,9.25,7.92,31,8.00,7.88,9.49,6.94,7.98,8.53,9.61,7.97,1.00,8.30,8.30,14,9.71,11.10,9.84,11.10,8.93,11.10,10.00,9.62,9,9.48,11.10,9.36,11.10,5.56,11.10,8.13,7.36,9.35,8.35,10.00,10.00,6.92,,9.76,8.89,8.84,25,10.00,6.69,10.00,8.90,10.00,10.00,8.42,10.00,10.00,10.00,6.81,9.32,4.32,7.07,9.56,5.16,6.53,9.99,9.97,,9.98,8.68,4
2003,8.66,5,1,6.44,11.10,6.72,11.10,9.10,11.10,8.00,11.10,8.00,11.10,8.00,9.25,7.90,29,7.85,7.89,9.33,8.33,7.98,8.53,9.61,7.97,1.00,8.44,8.44,13,9.59,11.10,9.84,11.10,9.09,11.10,10.00,9.63,8,9.45,11.10,9.18,11.10,5.56,11.10,8.06,7.34,9.17,8.25,10.00,10.00,6.92,,9.58,8.83,8.79,29,10.00,6.27,10.00,8.76,10.00,10.00,8.00,10.00,10.00,10.00,6.81,9.26,3.67,6.50,9.56,5.16,6.22,9.99,,,9.99,8.56,3
2002,8.67,5,1,6.50,11.10,6.72,11.10,9.08,11.10,7.00,11.10,7.00,11.10,7.00,9.25,7.71,33,8.12,8.00,9.33,8.33,8.47,8.53,9.61,7.97,1.00,8.55,8.55,10,9.41,11.10,9.80,11.10,9.37,11.10,10.00,9.65,5,9.45,11.10,9.18,11.10,5.56,11.10,8.06,7.00,9.17,8.08,10.00,10.00,6.92,,9.78,8.90,8.76,27,10.00,7.08,10.00,9.03,10.00,10.00,8.33,10.00,10.00,10.00,6.81,9.31,4.00,6.75,9.56,5.16,6.37,9.99,,,9.99,8.67,3
2001,8.67,4,1,6.60,11.10,6.79,11.10,8.82,11.10,7.00,11.10,7.00,11.10,7.00,8.43,7.53,37,8.11,8.09,9.53,9.44,8.82,8.53,9.61,7.97,1.00,8.76,8.76,7,9.21,11.10,9.80,11.10,8.87,11.10,10.00,9.47,13,9.43,11.10,9.20,11.10,5.56,11.10,8.06,7.84,9.17,8.50,10.00,10.00,6.92,,9.78,8.90,8.87,24,10.00,9.03,10.00,9.68,10.00,10.00,8.73,7.01,10.00,10.00,6.81,8.94,3.96,6.50,9.56,5.16,6.29,9.99,,,9.99,8.72,3
2000,8.83,4,1,6.59,10.70,6.54,10.70,10.00,10.70,7.00,10.70,7.00,10.70,7.00,8.43,7.71,31,8.17,8.35,9.55,10.00,8.82,8.69,9.61,7.97,1.00,8.90,8.90,6,9.27,10.70,9.84,10.70,8.65,10.70,10.00,9.44,18,9.44,10.70,9.20,10.70,5.72,10.70,8.12,8.32,9.17,8.74,10.00,10.00,6.92,,9.78,8.90,8.94,22,10.00,10.00,10.00,10.00,10.00,10.00,8.35,7.01,10.00,10.00,6.81,8.88,7.92,8.15,9.56,5.16,7.70,9.99,,,9.99,9.14,1
1995,8.80,2,1,6.18,7.00,6.32,7.00,9.33,7.00,7.00,7.00,7.00,7.00,7.00,8.43,7.45,37,8.08,8.11,,10.00,8.78,8.96,9.61,,1.00,8.92,8.92,7.00,9.81,7.00,9.74,7.00,9.60,7.00,10.00,9.79,4,9.20,7.00,8.82,7.00,7.20,7.00,8.41,,,,10.00,10.00,8.00,,,9.00,9.14,8,10.00,9.27,10.00,9.76,,7.15,7.59,6.67,,10.00,,7.85,,7.48,9.56,,8.52,,,,,8.71,6
1990,8.68,3,1,5.66,7.70,6.68,7.70,8.08,7.70,8.00,7.70,7.00,7.70,7.50,8.43,7.27,26,8.06,8.11,,8.33,8.78,8.96,9.61,,1.00,8.64,8.64,11.00,9.84,7.70,9.71,7.70,9.13,7.70,10.00,9.67,4,9.00,7.70,8.76,7.70,6.92,7.70,8.23,,,,10.00,10.00,8.00,,,9.00,9.08,12,10.00,8.44,10.00,9.48,,7.15,7.59,5.98,,10.00,,7.68,,,9.15,,9.15,,,,,8.77,5
1985,8.50,4,1,5.45,,6.73,,8.78,,4.00,,,,4.00,8.43,6.68,24,7.95,7.41,,10.00,8.78,9.21,,,1.00,8.67,8.67,9.00,9.03,,9.04,,9.30,,10.00,9.34,8,8.87,,8.68,,,,8.77,,,,10.00,10.00,8.00,,,9.00,9.26,8,10.00,7.90,10.00,9.30,,,7.59,5.63,,10.00,,7.74,,,8.59,,8.59,,,,,8.54,5
1975,8.09,3,1,5.23,,7.11,,6.84,,0.00,,,,0.00,7.89,5.42,71,7.89,7.85,,,8.78,8.96,,,1.00,8.37,8.37,6.00,8.81,,9.30,,8.16,,10.00,9.07,5,9.00,,7.94,,,,8.47,,,,10.00,10.00,8.00,,,9.00,9.16,6,10.00,8.85,8.00,8.95,,,7.59,5.89,,10.00,,7.83,,,8.59,,8.59,,,,,8.46,5
1970,7.89,8,1,5.11,,7.98,,6.12,,0.00,,,,0.00,7.89,5.42,79,7.76,7.85,,,8.61,,,,1.00,8.08,8.08,9.00,9.75,,9.62,,8.99,,10.00,9.59,8,8.40,,,,,,8.40,,,,10.00,10.00,8.00,,,9.00,9.13,4,10.00,9.58,10.00,9.86,,,7.59,5.45,,0.00,,4.35,,,7.43,,7.43,,,,,7.21,27
